name,image_url
Mobile Suit Gundam: The Origin,https://cdn.myanimelist.net/images/anime/4/72702l.jpg
Nanatsu no Taizai,https://cdn.myanimelist.net/images/anime/8/65409l.jpg
Natsume Yuujinchou,https://cdn.myanimelist.net/images/anime/1681/108439l.jpg
One Piece Film: Strong World,https://cdn.myanimelist.net/images/anime/1192/116784l.jpg
Higurashi no Naku Koro ni Kai,https://cdn.myanimelist.net/images/anime/12/14114l.jpg
Hunter x Hunter OVA,https://cdn.myanimelist.net/images/anime/1902/122320l.jpg
Hunter x Hunter: Greed Island Final,https://cdn.myanimelist.net/images/anime/1/139l.jpg
Kuroshitsuji: Book of Murder,https://cdn.myanimelist.net/images/anime/12/74392l.jpg
Major S2,https://cdn.myanimelist.net/images/anime/6/73972l.jpg
One Outs,https://cdn.myanimelist.net/images/anime/7/21065l.jpg
Beck,https://cdn.myanimelist.net/images/anime/11/11636l.jpg
Berserk,https://cdn.myanimelist.net/images/anime/10/79352l.jpg
Cowboy Bebop: Tengoku no Tobira,https://cdn.myanimelist.net/images/anime/1439/93480l.jpg
Major S3,https://cdn.myanimelist.net/images/anime/9/73971l.jpg
Mobile Suit Gundam Unicorn,https://cdn.myanimelist.net/images/anime/12/50459l.jpg
Natsume Yuujinchou: Itsuka Yuki no Hi ni,https://cdn.myanimelist.net/images/anime/11/79742l.jpg
NHK ni Youkoso!,https://cdn.myanimelist.net/images/anime/3/52675l.jpg
Rose of Versailles,https://cdn.myanimelist.net/images/anime/9/57043l.jpg
Sakurasou no Pet na Kanojo,https://cdn.myanimelist.net/images/anime/4/43643l.jpg
Angel Beats!,https://cdn.myanimelist.net/images/anime/1244/111115l.jpg
Bakemonogatari,https://cdn.myanimelist.net/images/anime/11/75274l.jpg
Bungou Stray Dogs 2nd Season,https://cdn.myanimelist.net/images/anime/1572/133096l.jpg
Hajime no Ippo: Champion Road,https://cdn.myanimelist.net/images/anime/1521/137978l.jpg
One Piece Film: Z,https://cdn.myanimelist.net/images/anime/6/44297l.jpg
Ouran Koukou Host Club,https://cdn.myanimelist.net/images/anime/2/71992l.jpg
Detective Conan Movie 13: The Raven Chaser,https://cdn.myanimelist.net/images/anime/2/22558l.jpg
Durarara!!,https://cdn.myanimelist.net/images/anime/10/71772l.jpg
Nodame Cantabile Finale,https://cdn.myanimelist.net/images/anime/1084/119096l.jpg
Planetes,https://cdn.myanimelist.net/images/anime/1209/142900l.jpg
Shelter,https://cdn.myanimelist.net/images/anime/1503/115760l.jpg
Tenkuu no Shiro Laputa,https://cdn.myanimelist.net/images/anime/5/37799l.jpg
Gintama: Shiroyasha Koutan,https://cdn.myanimelist.net/images/anime/6/16161l.jpg
Hachimitsu to Clover II,https://cdn.myanimelist.net/images/anime/6/11040l.jpg
